engels	hypernym	nederlands	nederlands_alt	cat_en	cat_nl	uitspraak	notitie
Charm Person		Persoon Bezweren		spells	spreuken		
Chill Touch		Koude Aanraking		spells	spreuken		
Chromatic Orb		Chromatische Bol		spells	spreuken		
Circle of Death		Cirkel van Dood		spells	spreuken		
Circle of Power		Cirkel van Macht		spells	spreuken		
Clairvoyance		Helderzien		spells	spreuken		
Clone		Kloon		spells	spreuken		
Cloud of Daggers		Zwerm van Dolken		spells	spreuken		
Cloudkill		Wolkenmoord	Moordwolk	spells	spreuken		
Color Spray		Kleurverstuiving		spells	spreuken		
Command		Bevel		spells	spreuken		
Commune		Communie		spells	spreuken		
Commune with Nature		Spreken met Natuur		spells	spreuken		
Compelled Duel		Gedwongen Duel		spells	spreuken		
Comprehend Languages		Talen Begrijpen		spells	spreuken		
Compulsion		Dwang		spells	spreuken		
Cone of Cold		Kegel van Kou		spells	spreuken		
Confusion		Verwarring		spells	spreuken		
Conjure Animals		Dieren Oproepen		spells	spreuken		
Conjure Barrage		Spervuur Oproepen		spells	spreuken		
Conjure Celestial		Hemelse Oproepen		spells	spreuken		
Conjure Elemental		Elementaal Oproepen		spells	spreuken		
Conjure Fey		Fee Oproepen		spells	spreuken		
Conjure Minor Elementals		Mindere Elementalen Oproepen		spells	spreuken		
Conjure Volley		Salvo Oproepen		spells	spreuken		
Conjure Woodland Beings		Wezens van het Woud Oproepen		spells	spreuken		
Contact Other Planes		Tot Andere Sferen Spreken		spells	spreuken		
Contagion		Besmetting		spells	spreuken		
Contingency		Noodgeval		spells	spreuken		
Continual Flame		Eeuwige Vlam		spells	spreuken		
Control Water		Water Besturen		spells	spreuken		
Control Weather		Weer Besturen		spells	spreuken		
Cordon of Arrows		Kordon van Pijlen		spells	spreuken		
Counterspell		Tegenspreuk		spells	spreuken		
Create Food and Water		Voedsel en Water Scheppen		spells	spreuken		
Create of Destroy Water		Water Scheppen of Vernietigen		spells	spreuken		
Create Undead		Ondoden Creëren		spells	spreuken		
Creation		Schepping		spells	spreuken		
Crown of Madness		Kroon van Waanzin		spells	spreuken		
Crusader’s Mantle		Mantel van de Kruisvaarder		spells	spreuken		
Cure Wounds		Wonden Genezen		spells	spreuken		
Dancing Lights		Dansende Lichtjes		spells	spreuken		
Darkness		Duisternis		spells	spreuken		
Darkvision		Duisterzicht		spells	spreuken		
Daylight		Daglicht		spells	spreuken		
Death Ward		Doodshoede		spells	spreuken		
Delayed Blast Fireball		Vuurbal met Vertraagde Ontploffing		spells	spreuken		
Demiplane		Demisfeer		spells	spreuken		
Destructive Wave		Verwoestende Golf		spells	spreuken		
Detect Evil and Good		Kwaad en Goed Ontwaren		spells	spreuken		
Detect Magic		Magie Ontwaren		spells	spreuken		
Detect Poison and Disease		Vergif and Ziekte Ontwaren		spells	spreuken		
Detect Thoughts		Gedachten Ontwaren		spells	spreuken		
Dimension Door		Dimensiedeur		spells	spreuken		
Disguise Self		Zelf Vermommen		spells	spreuken		
Disintegrate		Ontbinding / Desintegratie		spells	spreuken		
Dispel Evil and Good		Kwaad en Goed Verdrijven		spells	spreuken		
Dispel Magic		Magie Verdrijven		spells	spreuken		
Dissonant Whispers		Wangefluister		spells	spreuken		
Divination		Waarzeggerij		spells	spreuken		
Divine Favor		Goddelijk Voorrecht		spells	spreuken		
Divine Word		Goddelijk Woord		spells	spreuken		
Dominate Beast		Beest Beheersen		spells	spreuken		
Dominate Monster		Monster Beheersen		spells	spreuken		
Dominate Person		Persoon Beheersen		spells	spreuken		
Drawmij’s Instant Summons		Onmiddellijke Sommering		spells	spreuken		
Dream		Dromen		spells	spreuken		
Druidcraft		Druïdewerk		spells	spreuken		
Earthquake		Aardbeving		spells	spreuken		
Eldritch Blast		Esoterische Vlaag		spells	spreuken		
Elemental Weapon		Elementaal Wapen		spells	spreuken		
Enhance Ability		Vaardigheid Verbeteren		spells	spreuken		
Enlarge/Reduce		Vergroten/Verkleinen		spells	spreuken		
Ensnaring Strike		Verstrikkende Slag		spells	spreuken		
Entangle		Verstrengelen		spells	spreuken		
Enthrall		Betoveren	Betoverende Blik	spells	spreuken		
Etherealness		Etherische Staat		spells	spreuken		
Evard’s Black Tentacles		Evaards Zwarte Tentakels		spells	spreuken		
Expeditious Retreat		Spoedige Terugtocht		spells	spreuken		
Eyebite		Oogbeet		spells	spreuken		
Fabricate		Vervaardigen		spells	spreuken		
Faerie Fire		Feeënvuur		spells	spreuken		
False Life		Vals Leven		spells	spreuken		
Fear		Angst		spells	spreuken		
Feather Fall		Verenval		spells	spreuken		
Feeblemind		Weeëgeest		spells	spreuken		
Feign Death		Dood Veinzen		spells	spreuken		
Find Familiar		Dubbel Vinden		spells	spreuken		De familiar en de dubbel zijn allebei deel van de folklore over heksen in de respectievelijke cultuur, al gaat het om andere concepten. De dubbel is geen veredeld huisdier, maar een dierenvorm die de heks aanneemt, waarbij haar mensenlichaam achterblijft. Dat past toevallig goed genoeg bij de find familiar spreuk
Find Steed		Ros Vinden		spells	spreuken		
Find the Path		Het Pad Vinden		spells	spreuken		
Find Traps		Vallen Vinden		spells	spreuken		
Finger of Death		Vinger van Dood		spells	spreuken		
Fireball		Vuurbal		spells	spreuken		
Firebolt		Vuurschicht		spells	spreuken		
Fire Storm		Vuurstorm		spells	spreuken		
Flame Blade		Vlammenkling		spells	spreuken		
Flame Strike		Vlammenslag		spells	spreuken		
Flaming Sphere		Vlammende Bol		spells	spreuken		
Flesh to Stone		Vlees tot Steen		spells	spreuken		
Fly		Vliegen		spells	spreuken		
Fog Cloud		Mistwolk		spells	spreuken		
Forbiddance		Verbod		spells	spreuken		
Force Cage		Kooi van Kracht		spells	spreuken		
Foresight		Vooruitzicht		spells	spreuken		
Freedom of Movement		Vrijheid van Beweging		spells	spreuken		
Friends		Vrienden		spells	spreuken		
Gaseous Form		Gasvorm		spells	spreuken		
Gate		Poort		spells	spreuken		
Geas		Geis	Banvloek, Dwangvloek	spells	spreuken		
Gentle Repose		Zachte Rust		spells	spreuken		
Giant Insect		Reuzeninsect		spells	spreuken		
Glibness		Gladde Tong		spells	spreuken		
Globe of Invulnerability		Bol van Onkwetsbaarheid		spells	spreuken		
Glyph of Warding		Glief van Afwering		spells	spreuken		
Goodberry		Goedebes		spells	spreuken		
Grease		Smeer		spells	spreuken		
Greater Invisibility		Meerdere Onzichtbaarheid		spells	spreuken		
Greater Restoration		Meerdere Herstelling		spells	spreuken		
Guardian of Faith		Geloofsbewaarder		spells	spreuken		
Guards and Wards		Bewakers en Bewaarders		spells	spreuken		
Guidance		Geleide		spells	spreuken		
Guiding Bolt		Geleidende Schicht		spells	spreuken		
Gust of Wind		Windvlaag		spells	spreuken		
Hail of Thorns		Hagel van Doornen		spells	spreuken		
Hallow		Wijden		spells	spreuken		
Hallucinatory Terrain		Bedrieglijk Terrein		spells	spreuken		
Harm		Krenken		spells	spreuken		
Haste		Haast		spells	spreuken		
Heal		Helen		spells	spreuken		
Healing Word		Helend Woord		spells	spreuken		
Heat Metal		Metaal Verhitten		spells	spreuken		
Hellish Rebuke		Helse Vermaning		spells	spreuken		
Heroes’ Feast		Heldenmaal		spells	spreuken		
Heroism		Heldenmoed		spells	spreuken		
Hex		Beheksing		spells	spreuken		
Hold Monster		Monster Verankeren		spells	spreuken		
Hold Person		Persoon Verankeren		spells	spreuken		
Holy Aura		Heilig Aura		spells	spreuken		
Hunger of Hadar		Honger van Hadaar		spells	spreuken		
Hunter’s Mark		Jagersdoelwit		spells	spreuken		
Hypnotic Pattern		Hypnotisch Patroon		spells	spreuken		
Ice Storm		IJsstorm		spells	spreuken		
Identify		Identiteit		spells	spreuken		
Illusory Script		Illusiegeschrift		spells	spreuken		
Imprisonment		Gevangenis		spells	spreuken		
Incendiary Cloud		Ontvlammende Wolk		spells	spreuken		
Inflict Wounds		Wonden Toebrengen		spells	spreuken		
Insect Plague		Insectenplaag		spells	spreuken		
Invisibility		Onzichtbaarheid		spells	spreuken		
Jump		Sprong		spells	spreuken		
Knock		Kloppen		spells	spreuken		
Legend Lore		Overlevering van Legenden		spells	spreuken		
Leomund’s Secret Chest		Leomonds Geheime Kist		spells	spreuken		
Leomund’s Tiny Hut		Leomonds Kleine Hut		spells	spreuken		
Lesser Restoration		Mindere Herstelling		spells	spreuken		
Levitate		Zweven		spells	spreuken		
Light		Licht		spells	spreuken		
Lightning Arrow		Bliksempijl		spells	spreuken		
Lightning Bolt		Bliksemschicht		spells	spreuken		
Locate Animals Or Plants		Dieren of Planten Lokaliseren		spells	spreuken		
Locate Create		Wezen Lokaliseren		spells	spreuken		
Locate Object		Object Lokaliseren		spells	spreuken		
Longstrider		Langepasser		spells	spreuken		
Mage Armor		Magisch Harnas		spells	spreuken		
Mage Hand		Magische Hand		spells	spreuken		
Magic Circle		Magische Cirkel		spells	spreuken		
Magic Jar		Magische Pot		spells	spreuken		
Magic Missile		Magische Raket		spells	spreuken		
Magic Mouth		Magische Mond		spells	spreuken		
Magic Weapon		Magisch Wapen		spells	spreuken		
Major Image		Groter Beeld		spells	spreuken		
Mass Cure Wounds		Massawondenheling		spells	spreuken		
Mass Heal		Massaheling		spells	spreuken		
Mass Healing Word		Massa Helend Woord		spells	spreuken		
Mass Suggestion		Massasuggestie		spells	spreuken		
Maze		Doolhof		spells	spreuken		
Meld Into Stone		Opgaan in Steen		spells	spreuken		
Melf’s Acid Arrow		Melfs Zure Pijl		spells	spreuken		
Mending		Reparatie		spells	spreuken		
Message		Bericht		spells	spreuken		
Meteor Swarm		Meteorenzwerm		spells	spreuken		
Mind Blank		Ledige Geest		spells	spreuken		
Minor Illusion		Mindere Illusie		spells	spreuken		
Mirage Arcane		Esoterische Luchtspiegeling		spells	spreuken		
Mirror Image		Spiegelbeeld		spells	spreuken		
Mislead		Misleiden		spells	spreuken		
Misty Step		Nevelstap		spells	spreuken		
Modify Memory		Geheugen Aanpassen		spells	spreuken		
Moonbeam		Manestraal		spells	spreuken		
Mordenkainen’s Faithful Hound		Mordenkainens Trouwe Hond		spells	spreuken		
Mordenkainen’s Magnificent Mansion		Mordenkainens Voortreffelijke Villa		spells	spreuken		
Mordenkainen’s Private Sanctum		Mordenkainens Persoonlijke Schuilplaats		spells	spreuken		
Mordenkainen’s Sword		Mordenkainens Zwaard		spells	spreuken		
Move Earth		Aarde Bewegen		spells	spreuken		
Nondetection		Onopgespoordheid		spells	spreuken		
Nystul’s Magic Aura		Nijstuuls Magische Aura		spells	spreuken		
Otiluke’s Freezing Sphere		Otilukes Bevriezende Bol		spells	spreuken		
Otiluke’s Resilient Sphere		Otilukes Stevige Bol		spells	spreuken		
Otto’s Irresistible Dance		Otto’s Onweerstaanbare Dans		spells	spreuken		
Pass Without Trace		Spoorloze Pas		spells	spreuken		
Passwall		Muurvoorbij		spells	spreuken		
Phantasmal Force		Waankracht		spells	spreuken		
Phantasmal Killer		Waanverschrikking		spells	spreuken		
Phantom Steed		Spookros		spells	spreuken		
Planar Ally		Sferische Medestander		spells	spreuken		
Planar Binding		Sferische Binding		spells	spreuken		
Plane Shift		Sferensprong		spells	spreuken		
Plant Growth		Plantengroei		spells	spreuken		
Poison Spray		Gifsproei		spells	spreuken		
Polymorph		Polymorf		spells	spreuken		
Power Word Heal		Krachtwoord van Heling		spells	spreuken		
Power Word Kill		Krachtwoord van Vonnis		spells	spreuken		
Power Word Stun		Krachtwoord van Bedwelming		spells	spreuken		
Prayer of Healing		Gebed van Heling		spells	spreuken		
Prestidigitation		Goochelarij		spells	spreuken		
Prismatic Spray		Prismastralen		spells	spreuken		
Prismatic Wall		Prismatische Muur		spells	spreuken		
Produce Flame		Vlam Maken		spells	spreuken		
Programmed Illusion		Geprogrammeerde Illusie		spells	spreuken		
Project Image		Beeld Projecteren		spells	spreuken		
Protection from Energy		Bescherming tegen Energie		spells	spreuken		
Protection from Evil and Good		Bescherming tegen Kwaad en Goed		spells	spreuken		
Protection from Poison		Bescherming tegen Gif		spells	spreuken		
Purify Food and Drink		Eten en Drinken Zuiveren		spells	spreuken		
Raise Dead		Doden Terugbrengen		spells	spreuken		
Rary’s Telephathic Bond		Raries Telepathische Band		spells	spreuken		
Ray of Enfeeblement		Straal van Verzwakking		spells	spreuken		
Ray of Frost		Straal van Vorst		spells	spreuken		
Ray of Sickness		Straal van Ziekte		spells	spreuken		
Regenerate		Regenereren		spells	spreuken		
Reincarnate		Reïncarnatie		spells	spreuken		
Remove Curse		Vloek Verwijderen		spells	spreuken		
Resistance		Bestandheid		spells	spreuken		
Resurrection		Herrijzing		spells	spreuken		
Reverse Gravity		Zwaartekracht Omslaan		spells	spreuken		
Revivify		Reanimeren		spells	spreuken		
Rope Trick		Touwkunstje		spells	spreuken		
Sacred Flame		Heilige Vlam		spells	spreuken		
Sanctuary		Toevluchtsoord		spells	spreuken		
Scorching Ray		Schroeiende Straal		spells	spreuken		
Scrying		Kristalkijken		spells	spreuken		
Searing Smite		Schroeiende Slag		spells	spreuken		
See Invisibility		Onzichtbaarheid Zien		spells	spreuken		
Seeming		Schijnen		spells	spreuken		
Sending		Zending		spells	spreuken		
Sequester		Afzondering		spells	spreuken		
Shapechange		Gedaantewisseling		spells	spreuken		
Shatter		Verbrijzelen		spells	spreuken		
Shield		Schild		spells	spreuken		
Shield of Faith		Schild van Geloof		spells	spreuken		
Shillelagh		Shillelagh		spells	spreuken		
Shocking Grasp		Schokkende Greep		spells	spreuken		
Silence		Stilte		spells	spreuken		
Silent Image		Geluidloos Beeld		spells	spreuken		
Simulacrum		Simulacrum		spells	spreuken		
Sleep		Slaap		spells	spreuken		
Sleet Storm		Sneeuwstorm		spells	spreuken		
Slow		Vertragen		spells	spreuken		
Spare the Dying		De Stervenden Sparen		spells	spreuken		
Speak with Animals		Dierenspraak		spells	spreuken		
Speak with Dead		Dodenspraak		spells	spreuken		
Speak with Plants		Plantenspraak		spells	spreuken		
Spider Climb		Spinnengeklim		spells	spreuken		
Spike Growth		Stekelgroei		spells	spreuken		
Spirit Guardian		Beschermgeest		spells	spreuken		
Spiritual Weapon		Onstoffelijk Wapen	Spiritueel Wapen	spells	spreuken		
Staggering Smite		Verbluffende Slag		spells	spreuken		
Stinking Cloud		Stinkende Wolk		spells	spreuken		
Stone Shape		Steen Omvormen		spells	spreuken		
Stoneskin		Huid van Steen		spells	spreuken		
Storm of Vengeance		Storm van Wraak		spells	spreuken		
Suggestion		Suggestie		spells	spreuken		
Sunbeam		Zonnestraal		spells	spreuken		
Sunburst		Zonuitbarsting		spells	spreuken		
Swift Quiver		Vlotte Koker		spells	spreuken		
Symbol		Symbool		spells	spreuken		
Tasha’s Hideous Laughter		Tasha’s Afgrijselijke Lach		spells	spreuken		
Telekinesis		Telekinese		spells	spreuken		
Telepathy		Telepathie		spells	spreuken		
Teleport		Teleportatie		spells	spreuken		
Teleportation Circle		Teleportatiecirkel		spells	spreuken		
Tenser’s Floating Disk		Tensers Zwevende Schijf		spells	spreuken		
Thaumaturgy		Thaumaturgie		spells	spreuken		
Thorn Whip		Doornenzweep		spells	spreuken		
Thunderous Smite		Donderslag		spells	spreuken		
Thunderwave		Dondergolf		spells	spreuken		
Time Stop		Tijdsstop		spells	spreuken		
Tongues		Talen		spells	spreuken		
Transport Via Plants		Vervoer Door Planten		spells	spreuken		
Tree Stride		Bomenstap		spells	spreuken		
True Polymorph		Ware Polymorph		spells	spreuken		
True Resurrection		Ware Herrijzing		spells	spreuken		
True Seeing		Waar Zien		spells	spreuken		
True Strike		Ware Slag		spells	spreuken		
Tsunami		Tsunami		spells	spreuken		
Unseen Servant		Ongeziene Dienaar		spells	spreuken		
Vampiric Touch		Vampirische Aanraking		spells	spreuken		
Vicious Mockery		Wrede Spotternij		spells	spreuken		
Wall of Fire		Muur van Vuur		spells	spreuken		
Wall of Force		Muur van Kracht		spells	spreuken		
Wall of Ice		Muur van IJs		spells	spreuken		
Wall of Stone		Muur van Steen		spells	spreuken		
Wall of Thorns		Muur van Doornen		spells	spreuken		
Warding Bond		Beschermende Band		spells	spreuken		
Water Breathing		Wateradem		spells	spreuken		
Water Walk		Waterloop		spells	spreuken		
Web		Web		spells	spreuken		
Weird		Noodlot		spells	spreuken		Ik neem aan dat weird hier verwijst naar het Angelsaksische begrip wyrd.
Wind Walk		Windloop		spells	spreuken		
Wind Wall		Windmuur		spells	spreuken		
Wish		Wens		spells	spreuken		
Witch Bolt		Heksenschicht		spells	spreuken		
Word of Recall		Woord van Terugroeping		spells	spreuken		
Wrathful Smite		Toornende Slag		spells	spreuken		
Zone of Truth		Zone van Waarheid		spells	spreuken		
Forgotten Realms		Vergeten Rijken		gods	goden		
Auril, goddess of winter	Forgotten Realms	Auril, godin van de winter		gods	goden		
Azuth, god of wizards	Forgotten Realms	Azuth, god van tovenaars		gods	goden		
Bane, god of tyranny	Forgotten Realms	Doem, god van tirannie		gods	goden		
Beshaba, goddess of misfortune	Forgotten Realms	Beshaba, godin van ongeluk		gods	goden		
Bhaal, god of murder	Forgotten Realms	Bhaal, god van moord		gods	goden		
Chauntea, goddess of agriculture	Forgotten Realms	Chauntea, godin van de landbouw		gods	goden		
Cyric, god of lies	Forgotten Realms	Cyrica, god van leugens		gods	goden		
Deneir, god of writing	Forgotten Realms	Deneir, god van het schrift		gods	goden		
Eldath, goddess of peace	Forgotten Realms	Eldath, godin van de vrede		gods	goden		
Gond, god of craft	Forgotten Realms	Gond, god van de ambacht		gods	goden		
Helm, god of protection	Forgotten Realms	Helm, god van bescherming		gods	goden		
Ilmater, god of endurance	Forgotten Realms	Ilmater, god van verdraging		gods	goden		
Kelemvor, god of the dead	Forgotten Realms	Kelemvor, god van de doden		gods	goden		
Lathander, god of birth and renewal	Forgotten Realms	Lathander, god van geboorte en hernieuwing		gods	goden		
Leira, goddess of illusion	Forgotten Realms	Leira, godin van illusie		gods	goden		
Lliira, goddess of joy	Forgotten Realms	LLiira, godin van vreugde		gods	goden		
Loviatar, goddess of pain	Forgotten Realms	Loviatar, godin van pijn		gods	goden		
Malar, god of the hunt	Forgotten Realms	Malar, god van de jacht		gods	goden		
Mask, god of thieves	Forgotten Realms	Masker, god van de dieven		gods	goden		
Mielikki, goddess of forests	Forgotten Realms	Miëlikki, godin van bossen		gods	goden		
Milil, god of poetry and song	Forgotten Realms	Milil, god van poëzie en zang		gods	goden		
Myrkul, god of death	Forgotten Realms	Myrkul, god van de dood		gods	goden		
Mystra, goddess of magic	Forgotten Realms	Mystra, godin van magie		gods	goden		
Oghma, god of knowledge	Forgotten Realms	Oghma, god van kennis		gods	goden		
Savras, god of divination and fate	Forgotten Realms	Savras, god van waarzeggerij en het lot		gods	goden		
Selûne, goddess of the moon	Forgotten Realms	Selûne, godin van de maan		gods	goden		
Shar, goddess of darkness and loss	Forgotten Realms	Shaar, godin van duisternis en verlies		gods	goden		
Silvanus, god of wild nature	Forgotten Realms	Silvanus, god van wilde natuur		gods	goden		
Sune, goddess of love and beauty	Forgotten Realms	Sune, godin van liefde en schoonheid		gods	goden		
Talona, goddess of disease and poison	Forgotten Realms	Talona, godin van ziekte en vergif		gods	goden		
Talos, god of storms	Forgotten Realms	Talos, god van de storm		gods	goden		
Tempus, god of war	Forgotten Realms	Tempus, god van de oorlog		gods	goden		
Torm, god of courage and self-sacrifice	Forgotten Realms	Torm, god van moed en zelfopoffering		gods	goden		
Tymora, goddess of good fortune	Forgotten Realms	Tymora, godin van geluk		gods	goden		
Tyr, god of justice	Forgotten Realms	Tyr, god van rechtvaardigheid		gods	goden		
Umberlee, goddess of the sea	Forgotten Realms	Umberlei, godin van de zee		gods	goden		
Waukeen, goddess of trade	Forgotten Realms	Waukien, godin van de handel		gods	goden		
Greyhawk		Grauwvalk		gods	goden		
Beory, goddess of nature	Greyhawk	Beorie, godin van de natuur		gods	goden		
Boccob, god of magic	Greyhawk	Boccoba, god van magie		gods	goden		
Celestian, god of stars and wanderers	Greyhawk	Celestian, god van sterren en dwalers		gods	goden		
Ehlonna, goddess of woodlands	Greyhawk	Ehlonna, godin van woudlanden		gods	goden		
Erythnul, god of envy and slaughter	Greyhawk	Erythnul, god van venijn en moord		gods	goden		
Fharlanghn, god of horizons and travel	Greyhawk	Fharlanghn, god van horizons en reizen		gods	goden		
Heironeous, god of chivalry and valor	Greyhawk	Heironeus, god van hoofsheid en moed		gods	goden		
Hextor, god of war and discord	Greyhawk	Hextor, god van oorlog en verdeeldheid		gods	goden		
Kord, god of athletics and sport	Greyhawk	Kord, god van atletiek en sport		gods	goden		
Incabulos, god of plague and famine	Greyhawk	Incabulos, god van pest en schaarste		gods	goden		
Istus, goddess of fate and destiny	Greyhawk	Istus, godin van het lot		gods	goden		
Iuz, god of pain and oppression	Greyhawk	Iuz, god van pijn en onderdrukking		gods	goden		
Nerull, god of death	Greyhawk	Nerul, god van de dood		gods	goden		
Obad-Hai, god of nature	Greyhawk	Obad-Hai, god van de natuur		gods	goden		
Olidammarra, god of revelry	Greyhawk	Olidammarra, god van vreugde		gods	goden		
Pelor, god of the sun and healing	Greyhawk	Pelor, god van de zon en heling		gods	goden		
Pholtus, god of light and law	Greyhawk	Pholtus, god van het licht en de wet		gods	goden		
Ralishaz, god of ill luck and insanity	Greyhawk	Ralishaz, god van ongeluk en waanzin		gods	goden		
Rao, god of peace and reason	Greyhawk	Rao, god van vrede en ratio		gods	goden		
St. Cuthbert, god of common sense and zeal	Greyhawk	St. Cuthebert, god van gezond verstand en ijver		gods	goden		
Tharizdun, god of eternal darkness	Greyhawk	Tharizdun, god van eeuwige duisternis		gods	goden		
Trithereon, god of liberty and retribution	Greyhawk	Trithereon, god van vrijheid en vergelding		gods	goden		
Ulaa, god of hills and mountains	Greyhawk	Ulaa, god van heuvels en bergen		gods	goden		
Vecna, god of evil secrets	Greyhawk	Vecna, god van kwade geheimen		gods	goden		
Wee Jas, god of magic and death	Greyhawk	Wee Jaas, god van magie en de dood		gods	goden		
Dragonlance		Drakenlans		gods	goden		
The gods of good	Dragonlance	De goden van goed		gods	goden		
The gods of neutrality	Dragonlance	De goden van onzijdigheid		gods	goden		
The gods of evil	Dragonlance	De goden van kwaad		gods	goden		
Paladine, god of rulers and guardians	Dragonlance	Paladina, god van heersers en beschermers		gods	goden		
Branchala, god of music	Dragonlance	Branchala, god van de muziek		gods	goden		
Habbakuk, god of animal life and the sea	Dragonlance	Habbakuk, god van het dierenrijk en de zee		gods	goden		
Kiri-Jolith, god of honor and war	Dragonlance	Kiri-Jolithe, god van eer en oorlog		gods	goden		
Majere, god of meditation and order	Dragonlance	Majere, god van meditatie en orde		gods	goden		
Mishakal, goddess of healing	Dragonlance	Mishakal, godin van heling		gods	goden		
Solinari, god of good magic	Dragonlance	Solinari, god van goede magie		gods	goden		
Gilean, god of knowledge	Dragonlance	Gileaan, god van kennis		gods	goden		
Chislev, goddess of nature	Dragonlance	Chislev, godin van de natuur		gods	goden		
Reorx, god of craft	Dragonlance	Reorx, god van de ambacht		gods	goden		
Shinare, goddess of wealth and trade	Dragonlance	Shinare, godin van rijkdom en handel		gods	goden		
Sirrion, god of fire and change	Dragonlance	Sirrion, god van vuur en verandering		gods	goden		
Zivilyn, god of wisdom	Dragonlance	Zivilijn, god van wijsheid		gods	goden		
Lunitari, goddess of neutral magic	Dragonlance	Lunitari, godin van neutrale magie		gods	goden		
Takhisis, god of night and hatred	Dragonlance	Takhisis, god van nacht en haat		gods	goden		
Chemosh, god of the undead	Dragonlance	Chemosh, god van de ondoden		gods	goden		
Hiddukel, god of lies and greed	Dragonlance	Hiddukel, god van leugens en hebzucht		gods	goden		
Morgion, god of disease and secrecy	Dragonlance	Morgion, god van ziekte en heimelijkheid		gods	goden		
Sargonnas, god of vengeance and fire	Dragonlance	Sargonnas, god van wraak en vuur		gods	goden		
Zeboim, goddess of the sea and storms	Dragonlance	Zeboïm, godin van de zee en de storm		gods	goden		
Nuitari, god of evil magic	Dragonlance	Nuïtari, god van kwade magie		gods	goden		
Eberron				gods	goden		
The sovereign host	Eberron	De Heersenden		gods	goden		
The Dark Six	Eberron	De Duistere Zes		gods	goden		
Arawai, goddess of fertility	Eberron	Arawai, godin van vruchtbaarheid		gods	goden		
Aureon, god of law and knowledge	Eberron	Aureon, god van de wet en de kennis		gods	goden		
Balinor, god of beasts and the hunt	Eberron	Balinor, god van beesten en de jacht		gods	goden		
Boldrei, goddess of community and home	Eberron	Boldrei, godin van gemeenschap en thuis		gods	goden		
Dol Arrah, goddess of sunlight and honor	Eberron	Dol Arrah, godin van zonlicht en eer		gods	goden		
Dol Dorn, god of strength at arms	Eberron	Dol Dorn, god van krijgsmacht		gods	goden		
Kol Korran, god of trade and wealth	Eberron	Kol Korran, god van handel en rijkdom		gods	goden		
Olladra, goddess of good fortune	Eberron	Olladra, godin van geluk		gods	goden		
Onatar, god of craft	Eberron	Onatar, god van de ambacht		gods	goden		
The Devourer, god of nature’s wrath	Eberron	De Verslinder, god van de toorn der natuur		gods	goden		
The Fury, god of goddess of wrath and madness	Eberron	De Woede, god van toorn en waanzin		gods	goden		
The Keeper, god of greed and death	Eberron	De Poortwachter, god van hebzucht en dood		gods	goden		
The Mockery, god of violence and treachery	Eberron	De Smaad, god van geweld en verraad		gods	goden		
The Shadow, god of dark magic	Eberron	De Schaduw, god van duistere magie		gods	goden		
The Traveler, god of chaos and change	Eberron	De Reiziger, god van chaos en verandering		gods	goden		
The Silver Flame, deity of protection and good	Eberron	De Zilveren Vlam, godheid van bescherming en het goede		gods	goden		
The Blood of Vol, philosophy of immortality and undeath	Eberron	Het Bloed van Volos, filosofie van onsterfelijkheid en ondood		gods	goden		
Cults of the Dragon Below, deities of madness	Eberron	Sekten van de Draak Beneden, goden van waanzin		gods	goden		
The Path of Light, philosophy of light and self-improvement	Eberron	Het Pad van Licht, filosofie van licht en zelfverbetering		gods	goden		
The Undying Court, elven ancestors	Eberron	Het Onvergankelijke Hof, elfse voorouders		gods	goden		
The Spirits of the Past, elven ancestors	Eberron	De Geesten van het Verleden, elfse voorouders		gods	goden		
Non-human deities		Niet-menselijke goden		gods	goden		
Bahamut, dragon god of good	Non-human deities	Bahamut, drakengod van het goede		gods	goden		
Blipdoolpoolp, kuo-toa goddess	Non-human deities	Blipdoolpoolp, kuo-toa godin		gods	goden		
Corellon Larethian, elf deity of art and magic	Non-human deities	Corellon Latherian, elfse godheid van kunst en magie		gods	goden		
Deep Sashelas, elf god of the sea	Non-human deities	Diepe Sashelas, elfse god van de zee		gods	goden		
Eadro, merfolk deity of the sea	Non-human deities	Eadro, meervolkse god van de zee		gods	goden		
Garl Glittergold, gnome god of trickery and wiles	Non-human deities	Garel Glinstergoud, kaboutergod van fopperij en streken		gods	goden		
Grolantor, hill giant god of war	Non-human deities	Grolantor, heuvelreuzengod van oorlog		gods	goden		
Gruumsh, orc god of storms and war	Non-human deities	Gruumsh, orkengod van stormen en oorlog		gods	goden		
Hruggek, bugbear god of violence	Non-human deities	Hruggek, boekarossengod van geweld		gods	goden		
Kurtulmak, kobold god of war and mining	Non-human deities	Kurtulamk, koboldengod van oorlog en mijnbouw		gods	goden		
Laogzed, troglodyte god of hunger	Non-human deities	Laogzed, troglodietengod van honger		gods	goden		
Lolth, drow goddess of spiders	Non-human deities	Lolth, drouwgodin van spinnen		gods	goden		
Maglubiyet, goblinoid god of war	Non-human deities	Maglubiyet, gobbelinoïdegod van de oorlog		gods	goden		
Moradin, dwarf god of creation	Non-human deities	Moradin, dwergengod van schepping		gods	goden		
Rillifane Rallathil, wood elf god of nature	Non-human deities	Rillifane Rallathil, boselfengod van de natuur		gods	goden		
Sehanine Moonbow, elf god of the moon	Non-human deities	Sehanine Maneboog, elfse godin van de maan		gods	goden		
Sekolah, sahuagin god of the hunt	Non-human deities	Sekolah, sahuagingod van de jacht		gods	goden		
